season,week,celebrity_name,fan_vote_share,mean,std,cv,certainty,ci_low,ci_high,judge_total,eliminated,week_type,regime
1,1,John O'Hurley,0.41408544041967815,0.2654467946467914,0.10572432463622841,0.3982881947280894,0.7151601535150339,0.15233352041882176,0.41408544041967815,20.0,False,no_elim,rank
1,1,Kelly Monaco,0.03399020280702581,0.033990202807025804,4.9065389333867974e-18,1.4435156392690342e-16,0.9999999999999998,0.033990202807025804,0.03399020280702581,13.0,False,no_elim,rank
1,1,Evander Holyfield,0.09239495063597589,0.07421766049966527,0.01817729013631062,0.2449186624037092,0.8032653298563167,0.056040370363354644,0.09239495063597589,18.0,False,no_elim,rank
1,1,Rachel Hunter,0.25115551535514374,0.2735932909000181,0.11047953537308651,0.40380937343035994,0.7123474304466225,0.15233352041882176,0.41408544041967815,20.0,False,no_elim,rank
1,1,Joey McIntyre,0.15233352041882178,0.27853439064683416,0.10710410524932074,0.3845274007299252,0.7222681179677617,0.15233352041882176,0.41408544041967815,20.0,False,no_elim,rank
1,1,Trista Sutter,0.05604037036335466,0.07421766049966526,0.0181772901363106,0.24491866240370896,0.8032653298563168,0.05604037036335466,0.09239495063597586,18.0,False,no_elim,rank
1,2,John O'Hurley,0.4243773754536955,0.4243773754536956,5.551115123125783e-17,1.3080610428845711e-16,0.9999999999999998,0.4243773754536955,0.4243773754536955,26.0,False,single_elim,rank
1,2,Kelly Monaco,0.0946913917483534,0.0946913917483534,0.0,0.0,1.0,0.0946913917483534,0.0946913917483534,17.0,False,single_elim,rank
1,2,Evander Holyfield,0.05743323230623622,0.057433232306236225,6.938893903907228e-18,1.2081670533374783e-16,0.9999999999999998,0.05743323230623622,0.05743323230623622,14.0,False,single_elim,rank
1,2,Rachel Hunter,0.25739788950104586,0.2573978895010459,5.551115123125783e-17,2.156628064777985e-16,0.9999999999999998,0.25739788950104586,0.25739788950104586,24.0,False,single_elim,rank
1,2,Joey McIntyre,0.1561197117277089,0.15611971172770894,5.551115123125783e-17,3.5556785633883167e-16,0.9999999999999996,0.1561197117277089,0.1561197117277089,21.0,False,single_elim,rank
1,2,Trista Sutter,0.009980399262960168,0.009980399262960172,3.469446951953614e-18,3.4762606790989056e-16,0.9999999999999996,0.009980399262960168,0.009980399262960168,19.0,True,single_elim,rank
1,3,John O'Hurley,0.2599927206586828,0.25999272065868273,5.551115123125783e-17,2.1351040556297965e-16,0.9999999999999998,0.2599927206586828,0.2599927206586828,24.0,False,single_elim,rank
1,3,Kelly Monaco,0.09564597678455912,0.09874835576441085,0.013522956457738405,0.13694361139542247,0.8795510964458955,0.09564597678455912,0.12822095607300196,21.0,False,single_elim,rank
