season,week,celebrity_name,fan_vote_share,fan_rank,mean,std,cv,ci_low,ci_high,ci_width,judge_total,eliminated,week_type,regime
1,1,John O'Hurley,0.1873204364764093,3.31,0.1873204364764093,0.14354964768014064,0.7663320153622732,0.033990202807025804,0.41408544041967815,0.38009523761265235,20.0,False,no_elim,rank
1,1,Kelly Monaco,0.14992056639725965,3.57,0.14992056639725965,0.1081592040278792,0.7214434053639746,0.033990202807025804,0.4140854404196781,0.3800952376126523,13.0,False,no_elim,rank
1,1,Evander Holyfield,0.148948658629992,3.73,0.148948658629992,0.1231665845758539,0.8269063019837273,0.033990202807025804,0.41408544041967815,0.38009523761265235,18.0,False,no_elim,rank
1,1,Rachel Hunter,0.1634241941853901,3.54,0.1634241941853901,0.1318614429638146,0.8068661041310873,0.033990202807025804,0.41408544041967815,0.38009523761265235,20.0,False,no_elim,rank
1,1,Joey McIntyre,0.17822879769814887,3.47,0.17822879769814887,0.14691293867538177,0.8242940562375697,0.033990202807025804,0.41408544041967815,0.38009523761265235,20.0,False,no_elim,rank
1,1,Trista Sutter,0.17215734661280024,3.38,0.17215734661280024,0.1275786328797285,0.7410583127338752,0.033990202807025804,0.41408544041967815,0.38009523761265235,18.0,False,no_elim,rank
1,2,John O'Hurley,0.14056179428248064,3.78,0.14056179428248064,0.11498491106901053,0.8180381559168686,0.033990202807025804,0.41408544041967815,0.38009523761265235,26.0,False,single_elim,rank
1,2,Kelly Monaco,0.2069181183461191,2.8,0.2069181183461191,0.12706357927791576,0.6140766223476112,0.05604037036335466,0.41408544041967815,0.35804507005632347,17.0,False,single_elim,rank
1,2,Evander Holyfield,0.2779027363079533,1.98,0.2779027363079533,0.1101764609973771,0.3964569130245669,0.09239495063597589,0.41408544041967815,0.3216904897837023,14.0,False,single_elim,rank
1,2,Rachel Hunter,0.17328808542245785,3.4,0.17328808542245785,0.13112802790567368,0.7567053875073234,0.033990202807025804,0.41408544041967815,0.38009523761265235,24.0,False,single_elim,rank
1,2,Joey McIntyre,0.15297648025250085,3.62,0.15297648025250085,0.1263675121753555,0.8260584364614036,0.03399020280702581,0.41408544041967815,0.38009523761265235,21.0,False,single_elim,rank
